"DateTime","Message","Severity"
"06-Feb-19 10:21:19 AM","Service System.ServiceProcess.ServiceController is running on NUHQSFILE1","1"
"06-Feb-19 10:21:19 AM","Service System.ServiceProcess.ServiceController is running on NUHQSFILE1","1"
"06-Feb-19 10:21:19 AM","Service System.ServiceProcess.ServiceController is running on NUHQSFILE1","1"
"06-Feb-19 10:21:19 AM","Service System.ServiceProcess.ServiceController is running on NUHQSFILE1","1"
"06-Feb-19 10:21:19 AM","Service System.ServiceProcess.ServiceController is running on NUHQSFILE1","1"
"06-Feb-19 10:21:20 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODFIL1","1"
"06-Feb-19 10:21:20 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODFIL1","1"
"06-Feb-19 10:21:20 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODFIL1","1"
"06-Feb-19 10:21:20 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODFIL1","1"
"06-Feb-19 10:21:20 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODFIL1","1"
"06-Feb-19 10:21:21 AM","Service System.ServiceProcess.ServiceController is running on NUHQSSCCM","1"
"06-Feb-19 10:21:21 AM","Service System.ServiceProcess.ServiceController is running on NUHQSSCSM","1"
"06-Feb-19 10:21:21 AM","Service System.ServiceProcess.ServiceController is running on NUHQSSCSMDW","1"
"06-Feb-19 10:21:21 AM","Service System.ServiceProcess.ServiceController is running on NUHQSSPS","1"
"06-Feb-19 10:21:21 AM","Service System.ServiceProcess.ServiceController is running on NUHQSSQL1","1"
"06-Feb-19 10:21:22 AM","Service System.ServiceProcess.ServiceController is running on NUHQSSQL2","1"
"06-Feb-19 10:21:22 AM","Service System.ServiceProcess.ServiceController is running on NUHQSSQLCLUSTER","1"
"06-Feb-19 10:21:22 AM","Service System.ServiceProcess.ServiceController is running on NUHQSWEB1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:43 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH2","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service System.ServiceProcess.ServiceController is running on NUHQSMODEXCH1","1"
"06-Feb-19 10:22:44 AM","Service FTA MASTER REPLICA RTCASMCU RTCATS RTCAVMCU RTCCPS RTCDATAMCU RTCIMMCU RTCMEETINGMCU RTCRGS RtcSrv is running on NUHQSLYNCFE","1"
"06-Feb-19 10:23:57 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:23:57 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:23:57 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:23:57 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:23:57 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:23:57 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:23:57 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
"06-Feb-19 10:23:57 AM","Service System.ServiceProcess.ServiceController is running on NUHQSEXCH1","1"
